ID,nomeArtistico,generoMusical,descricao,categoria,youtube,instagram,status,valorTipoEvento,endereco,notaMedia,QtdDeVotos,QtdDeEventosPresente,QtdDeStrike,SequenciaDeEventoSeguido,QtdDeVisualizacoes,QtdVisualizacoesSucesso
79,Mamonas Assassinas,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Funk,Solo,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/caramelotdp/?hl=pt-br,Desativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,9,46,0,9,425,146
80,Marcelo Nova,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Pop,Solo,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,26,180,1,5,474,264
81,Marina Lima,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de Pop,Banda,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,16,160,0,0,205,205
82,Matanza,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Jazz,Banda,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/palittointimistas/?hl=pt-br,Desativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,61,196,0,0,303,207
83,Metrô,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Jazz,outros,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,50,197,0,6,404,361
84,Mindflow,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Funk,Banda,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,109,196,1,6,285,276
85,Nação Zumbi,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda Instrumental,Dupla,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,24,194,0,4,469,334
86,Nando Reis,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Funk,Banda,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,22,122,0,2,294,182
87,Nasi,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Pop,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,57,123,0,5,229,157
88,Nenhum de Nós,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de forró,outros,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,14,150,0,0,241,164
89,Ney Matogrosso,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de forró,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,60,198,0,6,286,261
90,Nove Mil Anjos,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de brega,Banda,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/caramelotdp/?hl=pt-br,Banido,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,59,66,3,0,469,97
91,Nx Zero,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Brega,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Desativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,81,195,0,5,382,262
92,O Rappa,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Jazz,Solo,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",2,111,150,0,9,486,292
93,O Surto,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de Baião,Banda,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,100,113,0,2,272,177
94,O Terço,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda anos 70,Solo,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,60,147,0,4,392,279
95,Oficina G3,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de forró,Dupla,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/palittointimistas/?hl=pt-br,Desativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,11,93,0,5,177,105
96,Os Incríveis,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Baião,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,115,175,0,4,492,411
97,Os Mutantes,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda Instrumental,Solo,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,40,126,0,2,180,131
98,Os Paralamas do Sucesso,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Funk,Orquestra,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",1,78,119,0,3,294,269
99,Os Replicantes,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de Baião,Banda,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,102,131,0,10,272,225
100,Os Vips,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Pop,Solo,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,115,128,0,9,413,210
101,Pato Fu,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de Brega,Solo,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",2,7,165,0,6,389,258
102,Pavilhão 9,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de forró,Dupla,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/kevinho/?hl=pt-br,Desativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",2,68,146,0,5,491,276
103,Pedra Letícia,"""[{ ""ID"" : 4, ""Tipo"" : ""Infantil""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda Clássica,Dupla,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/viniciuspoeta/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,2,198,1,3,474,308
104,Pitty,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de Brega,outros,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,90,180,0,3,262,249
